pmid,title,abstract,group,endpoint,timepoint,value,treatment,group_raw
31277783,Defining the Most Informative Intermediate Clinical Endpoints for Predicting Overall Survival in Patients Treated with Radical Prostatectomy for High-risk Prostate Cancer.,"BACKGROUND: Given the prolonged natural history of clinically localized, high-risk prostate cancer, there is a need for the identification of intermediate clinical endpoints (ICEs) to predict long-term overall survival (OS). OBJECTIVE: To explore the role of novel potential ICEs based on clinical follow-up to predict long-term survival in patients with high-risk prostate cancer. DESIGN, SETTING, AND PARTICIPANTS: Overall, 3507 patients treated at 12 tertiary referral centers between 1988 and 2016 were evaluated. INTERVENTION: Radical prostatectomy (RP) with extended pelvic lymph node dissection. OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS: The impact of biochemical recurrence (BCR) and clinical recurrence (CR) within 1, 3, 5, and 7yr after surgery on the risk of OS was evaluated in multivariable Cox regression analyses. In patients with BCR, the impact of progression to CR within 6mo and 1, 3, and 5yr on long-term OS was investigated. Discrimination was assessed using Harrell's c index. RESULTS AND LIMITATIONS: Median follow-up for survivors was 76mo. The 5- and 10-yr OS and cancer-specific survival rates were 94% and 81% versus 98% and 95%, respectively. On a time-varying multivariable analysis, BCR (hazard ratio [HR]: 1.02; 95% confidence interval [CI]: 1.00, 1.04) and CR (HR: 1.05; 95% CI: 1.03-1.07) emerged as predictors of OS (p<0.001). The development of CR within 5yr after surgery was the most informative ICE for predicting OS (c index: 0.74). In patients with BCR, progression to CR within 12mo represented the most informative predictor for the subsequent risk of dying from all causes. Patients who developed BCR within 5yr after RP and progressed to CR within 12mo had a 10-yr OS rate of 47%. These results require prospective validation. CONCLUSIONS: When predicting long-term survival in surgically treated high-risk patients, progression to CR within 5yr of RP confers the highest discrimination with respect to other landmark points. In men experiencing BCR, progression to CR within the subsequent 12mo achieved the highest discrimination. Further studies are needed to validate our findings. PATIENT SUMMARY: We investigated the most informative intermediate clinical endpoints for predicting overall survival (OS). Occurrence of clinical recurrence within 5yr after radical prostatectomy confers the highest discrimination to a model predicting OS.",high,overall survival,10-year,81%,Radical Prostatectomy,high-risk
31277783,Defining the Most Informative Intermediate Clinical Endpoints for Predicting Overall Survival in Patients Treated with Radical Prostatectomy for High-risk Prostate Cancer.,"BACKGROUND: Given the prolonged natural history of clinically localized, high-risk prostate cancer, there is a need for the identification of intermediate clinical endpoints (ICEs) to predict long-term overall survival (OS). OBJECTIVE: To explore the role of novel potential ICEs based on clinical follow-up to predict long-term survival in patients with high-risk prostate cancer. DESIGN, SETTING, AND PARTICIPANTS: Overall, 3507 patients treated at 12 tertiary referral centers between 1988 and 2016 were evaluated. INTERVENTION: Radical prostatectomy (RP) with extended pelvic lymph node dissection. OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS: The impact of biochemical recurrence (BCR) and clinical recurrence (CR) within 1, 3, 5, and 7yr after surgery on the risk of OS was evaluated in multivariable Cox regression analyses. In patients with BCR, the impact of progression to CR within 6mo and 1, 3, and 5yr on long-term OS was investigated. Discrimination was assessed using Harrell's c index. RESULTS AND LIMITATIONS: Median follow-up for survivors was 76mo. The 5- and 10-yr OS and cancer-specific survival rates were 94% and 81% versus 98% and 95%, respectively. On a time-varying multivariable analysis, BCR (hazard ratio [HR]: 1.02; 95% confidence interval [CI]: 1.00, 1.04) and CR (HR: 1.05; 95% CI: 1.03-1.07) emerged as predictors of OS (p<0.001). The development of CR within 5yr after surgery was the most informative ICE for predicting OS (c index: 0.74). In patients with BCR, progression to CR within 12mo represented the most informative predictor for the subsequent risk of dying from all causes. Patients who developed BCR within 5yr after RP and progressed to CR within 12mo had a 10-yr OS rate of 47%. These results require prospective validation. CONCLUSIONS: When predicting long-term survival in surgically treated high-risk patients, progression to CR within 5yr of RP confers the highest discrimination with respect to other landmark points. In men experiencing BCR, progression to CR within the subsequent 12mo achieved the highest discrimination. Further studies are needed to validate our findings. PATIENT SUMMARY: We investigated the most informative intermediate clinical endpoints for predicting overall survival (OS). Occurrence of clinical recurrence within 5yr after radical prostatectomy confers the highest discrimination to a model predicting OS.",high,cancer-specific survival,10-year,95%,Radical Prostatectomy,high-risk
31277783,Defining the Most Informative Intermediate Clinical Endpoints for Predicting Overall Survival in Patients Treated with Radical Prostatectomy for High-risk Prostate Cancer.,"BACKGROUND: Given the prolonged natural history of clinically localized, high-risk prostate cancer, there is a need for the identification of intermediate clinical endpoints (ICEs) to predict long-term overall survival (OS). OBJECTIVE: To explore the role of novel potential ICEs based on clinical follow-up to predict long-term survival in patients with high-risk prostate cancer. DESIGN, SETTING, AND PARTICIPANTS: Overall, 3507 patients treated at 12 tertiary referral centers between 1988 and 2016 were evaluated. INTERVENTION: Radical prostatectomy (RP) with extended pelvic lymph node dissection. OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS: The impact of biochemical recurrence (BCR) and clinical recurrence (CR) within 1, 3, 5, and 7yr after surgery on the risk of OS was evaluated in multivariable Cox regression analyses. In patients with BCR, the impact of progression to CR within 6mo and 1, 3, and 5yr on long-term OS was investigated. Discrimination was assessed using Harrell's c index. RESULTS AND LIMITATIONS: Median follow-up for survivors was 76mo. The 5- and 10-yr OS and cancer-specific survival rates were 94% and 81% versus 98% and 95%, respectively. On a time-varying multivariable analysis, BCR (hazard ratio [HR]: 1.02; 95% confidence interval [CI]: 1.00, 1.04) and CR (HR: 1.05; 95% CI: 1.03-1.07) emerged as predictors of OS (p<0.001). The development of CR within 5yr after surgery was the most informative ICE for predicting OS (c index: 0.74). In patients with BCR, progression to CR within 12mo represented the most informative predictor for the subsequent risk of dying from all causes. Patients who developed BCR within 5yr after RP and progressed to CR within 12mo had a 10-yr OS rate of 47%. These results require prospective validation. CONCLUSIONS: When predicting long-term survival in surgically treated high-risk patients, progression to CR within 5yr of RP confers the highest discrimination with respect to other landmark points. In men experiencing BCR, progression to CR within the subsequent 12mo achieved the highest discrimination. Further studies are needed to validate our findings. PATIENT SUMMARY: We investigated the most informative intermediate clinical endpoints for predicting overall survival (OS). Occurrence of clinical recurrence within 5yr after radical prostatectomy confers the highest discrimination to a model predicting OS.",high,overall survival,5-year,94%,Radical Prostatectomy,high-risk
31277783,Defining the Most Informative Intermediate Clinical Endpoints for Predicting Overall Survival in Patients Treated with Radical Prostatectomy for High-risk Prostate Cancer.,"BACKGROUND: Given the prolonged natural history of clinically localized, high-risk prostate cancer, there is a need for the identification of intermediate clinical endpoints (ICEs) to predict long-term overall survival (OS). OBJECTIVE: To explore the role of novel potential ICEs based on clinical follow-up to predict long-term survival in patients with high-risk prostate cancer. DESIGN, SETTING, AND PARTICIPANTS: Overall, 3507 patients treated at 12 tertiary referral centers between 1988 and 2016 were evaluated. INTERVENTION: Radical prostatectomy (RP) with extended pelvic lymph node dissection. OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS: The impact of biochemical recurrence (BCR) and clinical recurrence (CR) within 1, 3, 5, and 7yr after surgery on the risk of OS was evaluated in multivariable Cox regression analyses. In patients with BCR, the impact of progression to CR within 6mo and 1, 3, and 5yr on long-term OS was investigated. Discrimination was assessed using Harrell's c index. RESULTS AND LIMITATIONS: Median follow-up for survivors was 76mo. The 5- and 10-yr OS and cancer-specific survival rates were 94% and 81% versus 98% and 95%, respectively. On a time-varying multivariable analysis, BCR (hazard ratio [HR]: 1.02; 95% confidence interval [CI]: 1.00, 1.04) and CR (HR: 1.05; 95% CI: 1.03-1.07) emerged as predictors of OS (p<0.001). The development of CR within 5yr after surgery was the most informative ICE for predicting OS (c index: 0.74). In patients with BCR, progression to CR within 12mo represented the most informative predictor for the subsequent risk of dying from all causes. Patients who developed BCR within 5yr after RP and progressed to CR within 12mo had a 10-yr OS rate of 47%. These results require prospective validation. CONCLUSIONS: When predicting long-term survival in surgically treated high-risk patients, progression to CR within 5yr of RP confers the highest discrimination with respect to other landmark points. In men experiencing BCR, progression to CR within the subsequent 12mo achieved the highest discrimination. Further studies are needed to validate our findings. PATIENT SUMMARY: We investigated the most informative intermediate clinical endpoints for predicting overall survival (OS). Occurrence of clinical recurrence within 5yr after radical prostatectomy confers the highest discrimination to a model predicting OS.",high,cancer-specific survival,5-year,98%,Radical Prostatectomy,high-risk
31061806,Dose escalation of external beam radiotherapy for high-risk prostate cancer-Impact of multiple high-risk factor.,"OBJECTIVE: To retrospectively investigate the treatment outcomes of external beam radiotherapy with androgen deprivation therapy (ADT) in high-risk prostate cancer in three radiotherapy dose groups. METHODS: Between 1998 and 2013, patients with high-risk prostate cancer underwent three-dimensional conformal radiotherapy or intensity-modulated radiotherapy of 66 Gy, 72 Gy, or 78 Gy with ADT. Prostate-specific antigen (PSA) relapse was defined using the Phoenix definition. PSA relapse-free survival (PRFS) was evaluated in each radiotherapy dose group. Moreover, high-risk patients were divided into H-1 (patients with multiple high-risk factors) and H-2 (patients with a single high-risk factor) as risk subgroups. RESULTS: Two hundred and eighty-nine patients with a median follow-up period of 77.3 months were analyzed in this study. The median duration of ADT was 10.1 months. Age, Gleason score, T stage, and radiotherapy dose influenced PRFS with statistical significance both in univariate and multivariate analyses. The 4-year PRFS rates in Group-66 Gy, Group-72 Gy and Group-78 Gy were 72.7%, 81.6% and 90.3%, respectively. PRFS rates in the H-1 subgroup differed with statistical significance with an increasing radiotherapy dose having a more favorable PRFS, while PRFS rates in H-2 subgroup did not differ with increase in radiotherapy dose. CONCLUSION: Dose escalation for high-risk prostate cancer in combination with ADT improved PRFS. PRFS for patients in the H-1 subgroup was poor, but dose escalation in those patients was beneficial, while dose escalation in the H-2 subgroup was not proven to be effective for improving PRFS.",high,PSA relapse-free survival,4-year,72.70%,ADT + Std EBRT,high-risk
31360805,Dose-Escalated Intensity Modulated Radiation Therapy for Prostate Cancer: 15-Year Outcomes Data.,"PURPOSE: To report 15-year outcomes for dose-escalated intensity modulated radiation therapy (IMRT) for localized prostate cancer (PC) by evaluating biochemical relapse, distant metastases, cancer-specific survival, and long-term toxicity. METHODS AND MATERIALS: A database search was conducted for the first cohort of patients treated at this institution with 81 or 86.4 Gy between 1996 and 1998 using IMRT. Toxicity data were scored according to the Common Terminology Criteria for Adverse Events version 3.0. Median follow-up was 11.6 years (range, 5-21 years). RESULTS: In the study, 301 patients were treated with 81 Gy (n = 269, 89%) or 86.4 Gy (n = 32, 11%). Patients were analyzed by National Comprehensive Cancer Network risk group, with 29% low risk (LR), 49% intermediate risk (IR), and 22% high risk (HR). Late grade 3 gastrointestinal (GI) toxicity was seen in 3 patients (1.0%). No grade 4 GI toxicity events occurred. Median time from radiation therapy to late grade 3 GI toxicity was 2.9 years. One event occurred after 10 years. Late grade 3 and 4 genitourinary (GU) toxicity was seen in 6 (2.0%) and 1 (0.3%) patient, respectively. Median time to late grade 3+ GU toxicity was 5.5 years. Two events occurred after 10 years. In addition, 38 (12.6%) developed second primary malignancies (SPMs), 8 of which were in-field malignancies. Median time from radiation therapy to all SPM and in-field SPM was 10 years. The 15-year relapse-free survival was 76%, 65%, and 55% in the LR, IR, and HR groups, respectively. Distant metastases-free survival was 88%, 75%, and 63% for LR, IR, and HR patients, respectively. PC-specific mortality was 1.9%, 7.1%, and 12.2% for LR, IR, and HR patients. CONCLUSIONS: This report represents the longest follow-up data set to our knowledge of patients treated with high-dose IMRT for PC. Our findings indicate that it is well tolerated with 1.0% and 2.3% incidence of long-term grade 3+ GI and GU toxicity, respectively. The cohort had excellent PC-specific survival.",high,relapse-free survival,15-year,55%,Radiotherapy,high-risk
31360805,Dose-Escalated Intensity Modulated Radiation Therapy for Prostate Cancer: 15-Year Outcomes Data.,"PURPOSE: To report 15-year outcomes for dose-escalated intensity modulated radiation therapy (IMRT) for localized prostate cancer (PC) by evaluating biochemical relapse, distant metastases, cancer-specific survival, and long-term toxicity. METHODS AND MATERIALS: A database search was conducted for the first cohort of patients treated at this institution with 81 or 86.4 Gy between 1996 and 1998 using IMRT. Toxicity data were scored according to the Common Terminology Criteria for Adverse Events version 3.0. Median follow-up was 11.6 years (range, 5-21 years). RESULTS: In the study, 301 patients were treated with 81 Gy (n = 269, 89%) or 86.4 Gy (n = 32, 11%). Patients were analyzed by National Comprehensive Cancer Network risk group, with 29% low risk (LR), 49% intermediate risk (IR), and 22% high risk (HR). Late grade 3 gastrointestinal (GI) toxicity was seen in 3 patients (1.0%). No grade 4 GI toxicity events occurred. Median time from radiation therapy to late grade 3 GI toxicity was 2.9 years. One event occurred after 10 years. Late grade 3 and 4 genitourinary (GU) toxicity was seen in 6 (2.0%) and 1 (0.3%) patient, respectively. Median time to late grade 3+ GU toxicity was 5.5 years. Two events occurred after 10 years. In addition, 38 (12.6%) developed second primary malignancies (SPMs), 8 of which were in-field malignancies. Median time from radiation therapy to all SPM and in-field SPM was 10 years. The 15-year relapse-free survival was 76%, 65%, and 55% in the LR, IR, and HR groups, respectively. Distant metastases-free survival was 88%, 75%, and 63% for LR, IR, and HR patients, respectively. PC-specific mortality was 1.9%, 7.1%, and 12.2% for LR, IR, and HR patients. CONCLUSIONS: This report represents the longest follow-up data set to our knowledge of patients treated with high-dose IMRT for PC. Our findings indicate that it is well tolerated with 1.0% and 2.3% incidence of long-term grade 3+ GI and GU toxicity, respectively. The cohort had excellent PC-specific survival.",intermediate,relapse-free survival,15-year,65%,Radiotherapy,intermediate-risk
31360805,Dose-Escalated Intensity Modulated Radiation Therapy for Prostate Cancer: 15-Year Outcomes Data.,"PURPOSE: To report 15-year outcomes for dose-escalated intensity modulated radiation therapy (IMRT) for localized prostate cancer (PC) by evaluating biochemical relapse, distant metastases, cancer-specific survival, and long-term toxicity. METHODS AND MATERIALS: A database search was conducted for the first cohort of patients treated at this institution with 81 or 86.4 Gy between 1996 and 1998 using IMRT. Toxicity data were scored according to the Common Terminology Criteria for Adverse Events version 3.0. Median follow-up was 11.6 years (range, 5-21 years). RESULTS: In the study, 301 patients were treated with 81 Gy (n = 269, 89%) or 86.4 Gy (n = 32, 11%). Patients were analyzed by National Comprehensive Cancer Network risk group, with 29% low risk (LR), 49% intermediate risk (IR), and 22% high risk (HR). Late grade 3 gastrointestinal (GI) toxicity was seen in 3 patients (1.0%). No grade 4 GI toxicity events occurred. Median time from radiation therapy to late grade 3 GI toxicity was 2.9 years. One event occurred after 10 years. Late grade 3 and 4 genitourinary (GU) toxicity was seen in 6 (2.0%) and 1 (0.3%) patient, respectively. Median time to late grade 3+ GU toxicity was 5.5 years. Two events occurred after 10 years. In addition, 38 (12.6%) developed second primary malignancies (SPMs), 8 of which were in-field malignancies. Median time from radiation therapy to all SPM and in-field SPM was 10 years. The 15-year relapse-free survival was 76%, 65%, and 55% in the LR, IR, and HR groups, respectively. Distant metastases-free survival was 88%, 75%, and 63% for LR, IR, and HR patients, respectively. PC-specific mortality was 1.9%, 7.1%, and 12.2% for LR, IR, and HR patients. CONCLUSIONS: This report represents the longest follow-up data set to our knowledge of patients treated with high-dose IMRT for PC. Our findings indicate that it is well tolerated with 1.0% and 2.3% incidence of long-term grade 3+ GI and GU toxicity, respectively. The cohort had excellent PC-specific survival.",intermediate,distant metastases-free survival,15-year,75%,Radiotherapy,intermediate-risk
31360805,Dose-Escalated Intensity Modulated Radiation Therapy for Prostate Cancer: 15-Year Outcomes Data.,"PURPOSE: To report 15-year outcomes for dose-escalated intensity modulated radiation therapy (IMRT) for localized prostate cancer (PC) by evaluating biochemical relapse, distant metastases, cancer-specific survival, and long-term toxicity. METHODS AND MATERIALS: A database search was conducted for the first cohort of patients treated at this institution with 81 or 86.4 Gy between 1996 and 1998 using IMRT. Toxicity data were scored according to the Common Terminology Criteria for Adverse Events version 3.0. Median follow-up was 11.6 years (range, 5-21 years). RESULTS: In the study, 301 patients were treated with 81 Gy (n = 269, 89%) or 86.4 Gy (n = 32, 11%). Patients were analyzed by National Comprehensive Cancer Network risk group, with 29% low risk (LR), 49% intermediate risk (IR), and 22% high risk (HR). Late grade 3 gastrointestinal (GI) toxicity was seen in 3 patients (1.0%). No grade 4 GI toxicity events occurred. Median time from radiation therapy to late grade 3 GI toxicity was 2.9 years. One event occurred after 10 years. Late grade 3 and 4 genitourinary (GU) toxicity was seen in 6 (2.0%) and 1 (0.3%) patient, respectively. Median time to late grade 3+ GU toxicity was 5.5 years. Two events occurred after 10 years. In addition, 38 (12.6%) developed second primary malignancies (SPMs), 8 of which were in-field malignancies. Median time from radiation therapy to all SPM and in-field SPM was 10 years. The 15-year relapse-free survival was 76%, 65%, and 55% in the LR, IR, and HR groups, respectively. Distant metastases-free survival was 88%, 75%, and 63% for LR, IR, and HR patients, respectively. PC-specific mortality was 1.9%, 7.1%, and 12.2% for LR, IR, and HR patients. CONCLUSIONS: This report represents the longest follow-up data set to our knowledge of patients treated with high-dose IMRT for PC. Our findings indicate that it is well tolerated with 1.0% and 2.3% incidence of long-term grade 3+ GI and GU toxicity, respectively. The cohort had excellent PC-specific survival.",low,relapse-free survival,15-year,76%,Radiotherapy,low-risk
31360805,Dose-Escalated Intensity Modulated Radiation Therapy for Prostate Cancer: 15-Year Outcomes Data.,"PURPOSE: To report 15-year outcomes for dose-escalated intensity modulated radiation therapy (IMRT) for localized prostate cancer (PC) by evaluating biochemical relapse, distant metastases, cancer-specific survival, and long-term toxicity. METHODS AND MATERIALS: A database search was conducted for the first cohort of patients treated at this institution with 81 or 86.4 Gy between 1996 and 1998 using IMRT. Toxicity data were scored according to the Common Terminology Criteria for Adverse Events version 3.0. Median follow-up was 11.6 years (range, 5-21 years). RESULTS: In the study, 301 patients were treated with 81 Gy (n = 269, 89%) or 86.4 Gy (n = 32, 11%). Patients were analyzed by National Comprehensive Cancer Network risk group, with 29% low risk (LR), 49% intermediate risk (IR), and 22% high risk (HR). Late grade 3 gastrointestinal (GI) toxicity was seen in 3 patients (1.0%). No grade 4 GI toxicity events occurred. Median time from radiation therapy to late grade 3 GI toxicity was 2.9 years. One event occurred after 10 years. Late grade 3 and 4 genitourinary (GU) toxicity was seen in 6 (2.0%) and 1 (0.3%) patient, respectively. Median time to late grade 3+ GU toxicity was 5.5 years. Two events occurred after 10 years. In addition, 38 (12.6%) developed second primary malignancies (SPMs), 8 of which were in-field malignancies. Median time from radiation therapy to all SPM and in-field SPM was 10 years. The 15-year relapse-free survival was 76%, 65%, and 55% in the LR, IR, and HR groups, respectively. Distant metastases-free survival was 88%, 75%, and 63% for LR, IR, and HR patients, respectively. PC-specific mortality was 1.9%, 7.1%, and 12.2% for LR, IR, and HR patients. CONCLUSIONS: This report represents the longest follow-up data set to our knowledge of patients treated with high-dose IMRT for PC. Our findings indicate that it is well tolerated with 1.0% and 2.3% incidence of long-term grade 3+ GI and GU toxicity, respectively. The cohort had excellent PC-specific survival.",high,cancer-specific survival,15-year,87.80%,Radiotherapy,high-risk
31360805,Dose-Escalated Intensity Modulated Radiation Therapy for Prostate Cancer: 15-Year Outcomes Data.,"PURPOSE: To report 15-year outcomes for dose-escalated intensity modulated radiation therapy (IMRT) for localized prostate cancer (PC) by evaluating biochemical relapse, distant metastases, cancer-specific survival, and long-term toxicity. METHODS AND MATERIALS: A database search was conducted for the first cohort of patients treated at this institution with 81 or 86.4 Gy between 1996 and 1998 using IMRT. Toxicity data were scored according to the Common Terminology Criteria for Adverse Events version 3.0. Median follow-up was 11.6 years (range, 5-21 years). RESULTS: In the study, 301 patients were treated with 81 Gy (n = 269, 89%) or 86.4 Gy (n = 32, 11%). Patients were analyzed by National Comprehensive Cancer Network risk group, with 29% low risk (LR), 49% intermediate risk (IR), and 22% high risk (HR). Late grade 3 gastrointestinal (GI) toxicity was seen in 3 patients (1.0%). No grade 4 GI toxicity events occurred. Median time from radiation therapy to late grade 3 GI toxicity was 2.9 years. One event occurred after 10 years. Late grade 3 and 4 genitourinary (GU) toxicity was seen in 6 (2.0%) and 1 (0.3%) patient, respectively. Median time to late grade 3+ GU toxicity was 5.5 years. Two events occurred after 10 years. In addition, 38 (12.6%) developed second primary malignancies (SPMs), 8 of which were in-field malignancies. Median time from radiation therapy to all SPM and in-field SPM was 10 years. The 15-year relapse-free survival was 76%, 65%, and 55% in the LR, IR, and HR groups, respectively. Distant metastases-free survival was 88%, 75%, and 63% for LR, IR, and HR patients, respectively. PC-specific mortality was 1.9%, 7.1%, and 12.2% for LR, IR, and HR patients. CONCLUSIONS: This report represents the longest follow-up data set to our knowledge of patients treated with high-dose IMRT for PC. Our findings indicate that it is well tolerated with 1.0% and 2.3% incidence of long-term grade 3+ GI and GU toxicity, respectively. The cohort had excellent PC-specific survival.",low,distant metastases-free survival,15-year,88%,Radiotherapy,low-risk
31360805,Dose-Escalated Intensity Modulated Radiation Therapy for Prostate Cancer: 15-Year Outcomes Data.,"PURPOSE: To report 15-year outcomes for dose-escalated intensity modulated radiation therapy (IMRT) for localized prostate cancer (PC) by evaluating biochemical relapse, distant metastases, cancer-specific survival, and long-term toxicity. METHODS AND MATERIALS: A database search was conducted for the first cohort of patients treated at this institution with 81 or 86.4 Gy between 1996 and 1998 using IMRT. Toxicity data were scored according to the Common Terminology Criteria for Adverse Events version 3.0. Median follow-up was 11.6 years (range, 5-21 years). RESULTS: In the study, 301 patients were treated with 81 Gy (n = 269, 89%) or 86.4 Gy (n = 32, 11%). Patients were analyzed by National Comprehensive Cancer Network risk group, with 29% low risk (LR), 49% intermediate risk (IR), and 22% high risk (HR). Late grade 3 gastrointestinal (GI) toxicity was seen in 3 patients (1.0%). No grade 4 GI toxicity events occurred. Median time from radiation therapy to late grade 3 GI toxicity was 2.9 years. One event occurred after 10 years. Late grade 3 and 4 genitourinary (GU) toxicity was seen in 6 (2.0%) and 1 (0.3%) patient, respectively. Median time to late grade 3+ GU toxicity was 5.5 years. Two events occurred after 10 years. In addition, 38 (12.6%) developed second primary malignancies (SPMs), 8 of which were in-field malignancies. Median time from radiation therapy to all SPM and in-field SPM was 10 years. The 15-year relapse-free survival was 76%, 65%, and 55% in the LR, IR, and HR groups, respectively. Distant metastases-free survival was 88%, 75%, and 63% for LR, IR, and HR patients, respectively. PC-specific mortality was 1.9%, 7.1%, and 12.2% for LR, IR, and HR patients. CONCLUSIONS: This report represents the longest follow-up data set to our knowledge of patients treated with high-dose IMRT for PC. Our findings indicate that it is well tolerated with 1.0% and 2.3% incidence of long-term grade 3+ GI and GU toxicity, respectively. The cohort had excellent PC-specific survival.",intermediate,cancer-specific survival,15-year,92.90%,Radiotherapy,intermediate-risk
31360805,Dose-Escalated Intensity Modulated Radiation Therapy for Prostate Cancer: 15-Year Outcomes Data.,"PURPOSE: To report 15-year outcomes for dose-escalated intensity modulated radiation therapy (IMRT) for localized prostate cancer (PC) by evaluating biochemical relapse, distant metastases, cancer-specific survival, and long-term toxicity. METHODS AND MATERIALS: A database search was conducted for the first cohort of patients treated at this institution with 81 or 86.4 Gy between 1996 and 1998 using IMRT. Toxicity data were scored according to the Common Terminology Criteria for Adverse Events version 3.0. Median follow-up was 11.6 years (range, 5-21 years). RESULTS: In the study, 301 patients were treated with 81 Gy (n = 269, 89%) or 86.4 Gy (n = 32, 11%). Patients were analyzed by National Comprehensive Cancer Network risk group, with 29% low risk (LR), 49% intermediate risk (IR), and 22% high risk (HR). Late grade 3 gastrointestinal (GI) toxicity was seen in 3 patients (1.0%). No grade 4 GI toxicity events occurred. Median time from radiation therapy to late grade 3 GI toxicity was 2.9 years. One event occurred after 10 years. Late grade 3 and 4 genitourinary (GU) toxicity was seen in 6 (2.0%) and 1 (0.3%) patient, respectively. Median time to late grade 3+ GU toxicity was 5.5 years. Two events occurred after 10 years. In addition, 38 (12.6%) developed second primary malignancies (SPMs), 8 of which were in-field malignancies. Median time from radiation therapy to all SPM and in-field SPM was 10 years. The 15-year relapse-free survival was 76%, 65%, and 55% in the LR, IR, and HR groups, respectively. Distant metastases-free survival was 88%, 75%, and 63% for LR, IR, and HR patients, respectively. PC-specific mortality was 1.9%, 7.1%, and 12.2% for LR, IR, and HR patients. CONCLUSIONS: This report represents the longest follow-up data set to our knowledge of patients treated with high-dose IMRT for PC. Our findings indicate that it is well tolerated with 1.0% and 2.3% incidence of long-term grade 3+ GI and GU toxicity, respectively. The cohort had excellent PC-specific survival.",low,cancer-specific survival,15-year,98.10%,Radiotherapy,low-risk
30860948,Effect of Chemotherapy With Docetaxel With Androgen Suppression and Radiotherapy for Localized High-Risk Prostate Cancer: The Randomized Phase III NRG Oncology RTOG 0521 Trial.,"PURPOSE: Radiotherapy (RT) plus long-term androgen suppression (AS) are a standard treatment option for patients with high-risk localized prostate cancer. We hypothesized that docetaxel chemotherapy (CT) could improve overall survival (OS) and clinical outcomes among patients with high-risk prostate cancer. PATIENTS AND METHODS: The multicenter randomized NRG Oncology RTOG 0521 study enrolled patients with high-risk nonmetastatic disease between 2005 and 2009. Patients were randomly assigned to receive standard long-term AS plus RT with or without adjuvant CT. RESULTS: A total of 612 patients were enrolled; 563 were evaluable. Median prostate-specific antigen was 15.1 ng/mL; 53% had a Gleason score 9 to 10 cancer; 27% had cT3 to cT4 disease. Median follow-up was 5.7 years. Treatment was well tolerated in both arms. Four-year OS rate was 89% (95% CI, 84% to 92%) for AS + RT and 93% (95% CI, 90% to 96%) for AS + RT + CT (hazard ratio [HR], 0.69; 90% CI, 0.49 to 0.97; one-sided P = .034). There were 59 deaths in the AS + RT arm and 43 in the AS + RT + CT arm, with fewer deaths resulting from prostate cancer in the AS + RT + CT arm versus AS + RT (23 v 16 deaths, respectively). Six-year rate of distant metastasis was 14% for AS + RT and 9.1% for AS + RT + CT, (HR, 0.60; 95% CI, 0.37 to 0.99; two-sided P = .044). Six-year disease-free survival rate was 55% for AS + RT and 65% for AS + RT + CT (HR, 0.76; 95% CI, 0.58 to 0.99; two-sided P = .043). CONCLUSION: For patients with high-risk nonmetastatic prostate cancer, CT with docetaxel improved OS from 89% to 93% at 4 years, with improved disease-free survival and reduction in the rate of distant metastasis. The trial suggests that docetaxel CT may be an option to be discussed with selected men with high-risk prostate cancer.",high,overall survival,4-year,89%,ADT + Std EBRT,high-risk
30860948,Effect of Chemotherapy With Docetaxel With Androgen Suppression and Radiotherapy for Localized High-Risk Prostate Cancer: The Randomized Phase III NRG Oncology RTOG 0521 Trial.,"PURPOSE: Radiotherapy (RT) plus long-term androgen suppression (AS) are a standard treatment option for patients with high-risk localized prostate cancer. We hypothesized that docetaxel chemotherapy (CT) could improve overall survival (OS) and clinical outcomes among patients with high-risk prostate cancer. PATIENTS AND METHODS: The multicenter randomized NRG Oncology RTOG 0521 study enrolled patients with high-risk nonmetastatic disease between 2005 and 2009. Patients were randomly assigned to receive standard long-term AS plus RT with or without adjuvant CT. RESULTS: A total of 612 patients were enrolled; 563 were evaluable. Median prostate-specific antigen was 15.1 ng/mL; 53% had a Gleason score 9 to 10 cancer; 27% had cT3 to cT4 disease. Median follow-up was 5.7 years. Treatment was well tolerated in both arms. Four-year OS rate was 89% (95% CI, 84% to 92%) for AS + RT and 93% (95% CI, 90% to 96%) for AS + RT + CT (hazard ratio [HR], 0.69; 90% CI, 0.49 to 0.97; one-sided P = .034). There were 59 deaths in the AS + RT arm and 43 in the AS + RT + CT arm, with fewer deaths resulting from prostate cancer in the AS + RT + CT arm versus AS + RT (23 v 16 deaths, respectively). Six-year rate of distant metastasis was 14% for AS + RT and 9.1% for AS + RT + CT, (HR, 0.60; 95% CI, 0.37 to 0.99; two-sided P = .044). Six-year disease-free survival rate was 55% for AS + RT and 65% for AS + RT + CT (HR, 0.76; 95% CI, 0.58 to 0.99; two-sided P = .043). CONCLUSION: For patients with high-risk nonmetastatic prostate cancer, CT with docetaxel improved OS from 89% to 93% at 4 years, with improved disease-free survival and reduction in the rate of distant metastasis. The trial suggests that docetaxel CT may be an option to be discussed with selected men with high-risk prostate cancer.",high,disease-free survival,6-year,55%,ADT + Std EBRT,high-risk
