pmid,title,abstract,group,endpoint,timepoint,value,treatment,group_raw
BRC-0104,Extended adjuvant endocrine therapy to 10 years in HR-positive breast cancer,"Comparison of extended (10-year) versus standard-duration endocrine therapy, with distant recurrence-free and invasive disease-free survival as endpoints. (Illustrative placeholder record.)",HR+/HER2-negative,Invasive disease-free survival,10-year,79.40%,Extended Endocrine,HR+/HER2-negative
BRC-0104,Extended adjuvant endocrine therapy to 10 years in HR-positive breast cancer,"Comparison of extended (10-year) versus standard-duration endocrine therapy, with distant recurrence-free and invasive disease-free survival as endpoints. (Illustrative placeholder record.)",HR+/HER2-negative,Overall survival,10-year,86.00%,Extended Endocrine,HR+/HER2-negative
BRC-0105,Breast-conserving surgery with adjuvant radiotherapy: locoregional control in HR-positive disease,"Locoregional recurrence after breast-conserving surgery and whole-breast radiotherapy in HR-positive, HER2-negative early breast cancer. (Illustrative placeholder record.)",HR+/HER2-negative,Locoregional recurrence-free survival,5-year,96.20%,Surgery + RT,HR+/HER2-negative
BRC-0105,Breast-conserving surgery with adjuvant radiotherapy: locoregional control in HR-positive disease,"Locoregional recurrence after breast-conserving surgery and whole-breast radiotherapy in HR-positive, HER2-negative early breast cancer. (Illustrative placeholder record.)",HR+/HER2-negative,Locoregional recurrence-free survival,10-year,93.10%,Surgery + RT,HR+/HER2-negative
BRC-0105,Breast-conserving surgery with adjuvant radiotherapy: locoregional control in HR-positive disease,"Locoregional recurrence after breast-conserving surgery and whole-breast radiotherapy in HR-positive, HER2-negative early breast cancer. (Illustrative placeholder record.)",HR+/HER2-negative,Breast cancer-specific survival,10-year,90.40%,Surgery + RT,HR+/HER2-negative
BRC-0106,Aromatase inhibitor versus tamoxifen in postmenopausal HR-positive breast cancer,Head-to-head cohort comparison of upfront aromatase inhibitor therapy reporting disease-free and breast cancer-specific survival. (Illustrative placeholder record.),HR+/HER2-negative,Invasive disease-free survival,5-year,90.10%,Endocrine Therapy,HR+/HER2-negative
BRC-0106,Aromatase inhibitor versus tamoxifen in postmenopausal HR-positive breast cancer,Head-to-head cohort comparison of upfront aromatase inhibitor therapy reporting disease-free and breast cancer-specific survival. (Illustrative placeholder record.),HR+/HER2-negative,Breast cancer-specific survival,5-year,95.20%,Endocrine Therapy,HR+/HER2-negative
BRC-0201,Adjuvant trastuzumab plus chemotherapy in HER2-positive early breast cancer: 10-year results,"Long-term follow-up of adjuvant trastuzumab added to chemotherapy in HER2-positive breast cancer, with invasive disease-free and overall survival at 5 and 10 years. (Illustrative placeholder record.)",HER2-positive,Invasive disease-free survival,5-year,87.20%,Trastuzumab + Chemo,HER2-positive
BRC-0201,Adjuvant trastuzumab plus chemotherapy in HER2-positive early breast cancer: 10-year results,"Long-term follow-up of adjuvant trastuzumab added to chemotherapy in HER2-positive breast cancer, with invasive disease-free and overall survival at 5 and 10 years. (Illustrative placeholder record.)",HER2-positive,Invasive disease-free survival,10-year,79.00%,Trastuzumab + Chemo,HER2-positive
BRC-0201,Adjuvant trastuzumab plus chemotherapy in HER2-positive early breast cancer: 10-year results,"Long-term follow-up of adjuvant trastuzumab added to chemotherapy in HER2-positive breast cancer, with invasive disease-free and overall survival at 5 and 10 years. (Illustrative placeholder record.)",HER2-positive,Overall survival,10-year,84.10%,Trastuzumab + Chemo,HER2-positive
BRC-0202,Dual HER2 blockade with trastuzumab and pertuzumab in node-positive disease,"Adjuvant dual anti-HER2 blockade in node-positive HER2-positive breast cancer, reporting invasive disease-free and distant recurrence-free survival. (Illustrative placeholder record.)",HER2-positive,Invasive disease-free survival,3-year,94.10%,Trastuzumab + Pertuzumab,HER2-positive
BRC-0202,Dual HER2 blockade with trastuzumab and pertuzumab in node-positive disease,"Adjuvant dual anti-HER2 blockade in node-positive HER2-positive breast cancer, reporting invasive disease-free and distant recurrence-free survival. (Illustrative placeholder record.)",HER2-positive,Invasive disease-free survival,5-year,88.60%,Trastuzumab + Pertuzumab,HER2-positive
BRC-0202,Dual HER2 blockade with trastuzumab and pertuzumab in node-positive disease,"Adjuvant dual anti-HER2 blockade in node-positive HER2-positive breast cancer, reporting invasive disease-free and distant recurrence-free survival. (Illustrative placeholder record.)",HER2-positive,Distant recurrence-free survival,5-year,90.20%,Trastuzumab + Pertuzumab,HER2-positive
BRC-0203,Adjuvant T-DM1 for residual invasive disease after neoadjuvant therapy,Trastuzumab emtansine in patients with residual invasive HER2-positive disease after neoadjuvant chemotherapy and HER2-directed therapy. (Illustrative placeholder record.),HER2-positive,Invasive disease-free survival,3-year,88.30%,T-DM1 (adjuvant),HER2-positive
BRC-0203,Adjuvant T-DM1 for residual invasive disease after neoadjuvant therapy,Trastuzumab emtansine in patients with residual invasive HER2-positive disease after neoadjuvant chemotherapy and HER2-directed therapy. (Illustrative placeholder record.),HER2-positive,Invasive disease-free survival,5-year,84.40%,T-DM1 (adjuvant),HER2-positive
BRC-0203,Adjuvant T-DM1 for residual invasive disease after neoadjuvant therapy,Trastuzumab emtansine in patients with residual invasive HER2-positive disease after neoadjuvant chemotherapy and HER2-directed therapy. (Illustrative placeholder record.),HER2-positive,Overall survival,5-year,90.10%,T-DM1 (adjuvant),HER2-positive
BRC-0204,Neoadjuvant chemotherapy with HER2-directed therapy: long-term recurrence outcomes,Distant and locoregional recurrence-free survival following neoadjuvant chemotherapy plus anti-HER2 therapy and definitive surgery. (Illustrative placeholder record.),HER2-positive,Distant recurrence-free survival,5-year,89.00%,Neoadjuvant Chemo + Anti-HER2,HER2-positive
BRC-0204,Neoadjuvant chemotherapy with HER2-directed therapy: long-term recurrence outcomes,Distant and locoregional recurrence-free survival following neoadjuvant chemotherapy plus anti-HER2 therapy and definitive surgery. (Illustrative placeholder record.),HER2-positive,Locoregional recurrence-free survival,5-year,95.10%,Neoadjuvant Chemo + Anti-HER2,HER2-positive
BRC-0204,Neoadjuvant chemotherapy with HER2-directed therapy: long-term recurrence outcomes,Distant and locoregional recurrence-free survival following neoadjuvant chemotherapy plus anti-HER2 therapy and definitive surgery. (Illustrative placeholder record.),HER2-positive,Overall survival,5-year,92.00%,Neoadjuvant Chemo + Anti-HER2,HER2-positive
BRC-0205,One year of adjuvant trastuzumab: cancer-specific survival in a population cohort,Population-based analysis of breast cancer-specific survival after one year of adjuvant trastuzumab with chemotherapy. (Illustrative placeholder record.),HER2-positive,Breast cancer-specific survival,5-year,92.30%,Trastuzumab + Chemo,HER2-positive
BRC-0205,One year of adjuvant trastuzumab: cancer-specific survival in a population cohort,Population-based analysis of breast cancer-specific survival after one year of adjuvant trastuzumab with chemotherapy. (Illustrative placeholder record.),HER2-positive,Breast cancer-specific survival,10-year,87.60%,Trastuzumab + Chemo,HER2-positive
BRC-0206,Postoperative radiotherapy and locoregional control in HER2-positive breast cancer,Locoregional recurrence-free survival after surgery and adjuvant radiotherapy in HER2-positive disease. (Illustrative placeholder record.),HER2-positive,Locoregional recurrence-free survival,5-year,95.40%,Surgery + RT,HER2-positive
BRC-0206,Postoperative radiotherapy and locoregional control in HER2-positive breast cancer,Locoregional recurrence-free survival after surgery and adjuvant radiotherapy in HER2-positive disease. (Illustrative placeholder record.),HER2-positive,Locoregional recurrence-free survival,10-year,91.20%,Surgery + RT,HER2-positive
BRC-0301,Neoadjuvant anthracycline-taxane chemotherapy in triple-negative breast cancer,"Outcomes following standard neoadjuvant chemotherapy in triple-negative breast cancer, with overall and disease-free survival at 5 years. (Illustrative placeholder record.)",Triple-negative,Overall survival,5-year,78.20%,Neoadjuvant Chemo,Triple-negative
BRC-0301,Neoadjuvant anthracycline-taxane chemotherapy in triple-negative breast cancer,"Outcomes following standard neoadjuvant chemotherapy in triple-negative breast cancer, with overall and disease-free survival at 5 years. (Illustrative placeholder record.)",Triple-negative,Invasive disease-free survival,5-year,72.10%,Neoadjuvant Chemo,Triple-negative
BRC-0301,Neoadjuvant anthracycline-taxane chemotherapy in triple-negative breast cancer,"Outcomes following standard neoadjuvant chemotherapy in triple-negative breast cancer, with overall and disease-free survival at 5 years. (Illustrative placeholder record.)",Triple-negative,Distant recurrence-free survival,5-year,74.00%,Neoadjuvant Chemo,Triple-negative
BRC-0302,Neoadjuvant chemoimmunotherapy in early triple-negative breast cancer,"Addition of immune checkpoint inhibition to neoadjuvant chemotherapy in early triple-negative breast cancer, with event-free and overall survival reported. (Illustrative placeholder record.)",Triple-negative,Invasive disease-free survival,3-year,87.00%,Chemo + Immunotherapy,Triple-negative
BRC-0302,Neoadjuvant chemoimmunotherapy in early triple-negative breast cancer,"Addition of immune checkpoint inhibition to neoadjuvant chemotherapy in early triple-negative breast cancer, with event-free and overall survival reported. (Illustrative placeholder record.)",Triple-negative,Invasive disease-free survival,5-year,84.50%,Chemo + Immunotherapy,Triple-negative
BRC-0302,Neoadjuvant chemoimmunotherapy in early triple-negative breast cancer,"Addition of immune checkpoint inhibition to neoadjuvant chemotherapy in early triple-negative breast cancer, with event-free and overall survival reported. (Illustrative placeholder record.)",Triple-negative,Overall survival,5-year,86.60%,Chemo + Immunotherapy,Triple-negative
BRC-0302,Neoadjuvant chemoimmunotherapy in early triple-negative breast cancer,"Addition of immune checkpoint inhibition to neoadjuvant chemotherapy in early triple-negative breast cancer, with event-free and overall survival reported. (Illustrative placeholder record.)",Triple-negative,Distant recurrence-free survival,5-year,87.10%,Chemo + Immunotherapy,Triple-negative
BRC-0303,Adjuvant capecitabine after standard chemotherapy in triple-negative disease,Disease-free and overall survival with the addition of adjuvant capecitabine in residual triple-negative breast cancer. (Illustrative placeholder record.),Triple-negative,Invasive disease-free survival,5-year,76.30%,Adjuvant Capecitabine,Triple-negative
BRC-0303,Adjuvant capecitabine after standard chemotherapy in triple-negative disease,Disease-free and overall survival with the addition of adjuvant capecitabine in residual triple-negative breast cancer. (Illustrative placeholder record.),Triple-negative,Overall survival,5-year,83.80%,Adjuvant Capecitabine,Triple-negative
BRC-0304,Dose-dense adjuvant chemotherapy in node-positive triple-negative breast cancer,"Registry analysis of dose-dense chemotherapy schedules, reporting overall and invasive disease-free survival. (Illustrative placeholder record.)",Triple-negative,Overall survival,5-year,80.10%,Dose-dense Chemo,Triple-negative
BRC-0304,Dose-dense adjuvant chemotherapy in node-positive triple-negative breast cancer,"Registry analysis of dose-dense chemotherapy schedules, reporting overall and invasive disease-free survival. (Illustrative placeholder record.)",Triple-negative,Invasive disease-free survival,5-year,74.80%,Dose-dense Chemo,Triple-negative
BRC-0304,Dose-dense adjuvant chemotherapy in node-positive triple-negative breast cancer,"Registry analysis of dose-dense chemotherapy schedules, reporting overall and invasive disease-free survival. (Illustrative placeholder record.)",Triple-negative,Distant recurrence-free survival,5-year,76.20%,Dose-dense Chemo,Triple-negative
BRC-0305,Locoregional recurrence after surgery and radiotherapy in triple-negative breast cancer,Locoregional and breast cancer-specific outcomes after definitive surgery and adjuvant radiotherapy in triple-negative disease. (Illustrative placeholder record.),Triple-negative,Locoregional recurrence-free survival,5-year,89.70%,Surgery + RT,Triple-negative
BRC-0305,Locoregional recurrence after surgery and radiotherapy in triple-negative breast cancer,Locoregional and breast cancer-specific outcomes after definitive surgery and adjuvant radiotherapy in triple-negative disease. (Illustrative placeholder record.),Triple-negative,Locoregional recurrence-free survival,10-year,85.60%,Surgery + RT,Triple-negative
BRC-0305,Locoregional recurrence after surgery and radiotherapy in triple-negative breast cancer,Locoregional and breast cancer-specific outcomes after definitive surgery and adjuvant radiotherapy in triple-negative disease. (Illustrative placeholder record.),Triple-negative,Breast cancer-specific survival,5-year,81.20%,Surgery + RT,Triple-negative
BRC-0306,Long-term survival after neoadjuvant chemotherapy in triple-negative breast cancer,Ten-year overall and breast cancer-specific survival in a triple-negative cohort treated with neoadjuvant chemotherapy. (Illustrative placeholder record.),Triple-negative,Overall survival,10-year,70.40%,Neoadjuvant Chemo,Triple-negative
BRC-0306,Long-term survival after neoadjuvant chemotherapy in triple-negative breast cancer,Ten-year overall and breast cancer-specific survival in a triple-negative cohort treated with neoadjuvant chemotherapy. (Illustrative placeholder record.),Triple-negative,Breast cancer-specific survival,10-year,73.90%,Neoadjuvant Chemo,Triple-negative
